likes	quote
37	“Combinatory play seems to be the essential feature in productive thought.”
37	“The future is not a gift-it is an achievement.”
36	“One picture is worth a thousand words”
36	“The really valuable thing in the pageant of human life seems to me not the political state, but the creative, sentient individual, the personality; it alone creates the noble and the sublime, while the herd as such remains dull in thought and dull in feeling.”
36	“That which is impenetrable to us really exists. Behind the secrets of nature remains something subtle, intangible, and inexplicable. Veneration for this force beyond anything that we can comprehend is my religion.”
35	“This topic brings me to that worst outcrop of herd life, the military system, which I abhor... This plague-spot of civilization ought to be abolished with all possible speed. Heroism on command, senseless violence, and all the loathsome nonsense that goes by the name of patriotism -- how passionately I hate them!”
35	“A photograph never grows old. You and I change, people change all through the months and years but a photograph always remains the same. How nice to look at a photograph of mother or father taken many years ago. You see them as you remember them. But as people live on, they change completely. That is why I think a photograph can be kind.”
35	“The gift of fantasy has meant more to me than my talent for absorbing positive knowledge.”
35	“Rejoice with your family in the beautiful land of life.”
34	“I have never looked upon ease and happiness as ends in themselves -- this critical basis I call the ideal of a pigsty. The ideals that have lighted my way, and time after time have given me new courage to face life cheerfully, have been Kindness, Beauty, and Truth. Without the sense of kinship with men of like mind, without the occupation with the objective world, the eternally unattainable in the field of art and scientific endeavors, life would have seemed empty to me. The trite objects of human efforts -- possessions, outward success, luxury -- have always seemed to me contemptible.”
34	"“Ego=1/Knowledge"" More the knowledge lesser the ego, lesser the knowledge more the ego.”"
34	“Organized people are just too lazy to go looking for what they want.”
34	“Honestly, I cannot understand what people mean when they talk about the freedom of the human will. I have a feeling, for instance, that I will something or other; but what relation this has with freedom I cannot understand at all. I feel that I will to light my pipe and I do it; but how can I connect this up with the idea of freedom? What is behind the act of willing to light the pipe? Another act of willing? Schopenhauer once said: Der Mensch kann was er will; er kann aber nicht wollen was er will (Man can do what he will but he cannot will what he wills).”
34	“It is our American habit if we find the foundations of our educational structure unsatisfactory to add another story or wing.”
33	“Necessity is the mother of all invention.”
33	"“The fanatical atheists are like slaves who are still feeling the weight of their chains which they have thrown off after hard struggle. They are creatures who—in their grudge against traditional religion as the ""opium of the masses""—cannot hear the music of the spheres.”"
33	“It is humankind's duty to respect all life, not only animals have feelings but even also trees and plants.”
33	“Children don’t heed the life experiences of their parents, and nations ignore history. Bad lessons always have to be learned anew. ”
32	“People like you and me never grow old. We never cease to stand like curious children before the great mystery into which we were born.”
32	“When the number of factors coming into play in a phenomenological complex is too large scientific method in most cases fails. One need only think of the weather, in which case the prediction even for a few days ahead is impossible.”
32	“My sense of god is my sense of wonder about the universe.”
32	“What is the meaning of human life, or, for that matter, of the life of any creature? To know the answer to this question means to be religious. You ask: Does it make any sense, then, to pose this question? I answer: The man who regards his fellow creatures as meaningless is not merely unhappy but hardly fit for life.”
31	“I am not more gifted than the average human being. If you know anything about history, you would know that is so--what hard times I had in studying and the fact that I do not have a memory like some other people do… I am just more curious than the average person and I will not give up on a problem until I have found the proper solution. This is one of my greatest satisfactions in life--solving problems--and the harder they are, the more satisfaction do I get out of them. Maybe you could consider me a bit more patient in continuing with my problem than is the average human being. Now, if you understand what I have just told you, you see that it is not a matter of being more gifted but a matter of being more curious and maybe more patient until you solve a problem.”
31	“We never cease to stand like curious children before the great mystery into which we are born.”
31	“He who can no longer pause to wonder and stand rapt in awe is as good as dead; his eyes are closed.”
31	“We can't solve problems by using the same kind of thinking we used when we created them.”
30	“That deep emotional conviction of the presence of a superior reasoning power, which is revealed in the incomprehensible universe, forms my idea of God.”
30	“Human beings, vegetables, or cosmic dust, we all dance to a mysterious tune, intoned in the distance by an invisible piper.”
30	“The man who regards his own life and that of his fellow-creatures as meaningless is not merely unfortunate but almost disqualified for life.”
29	“All of us who are concerned for peace and triumph of reason and justice must be keenly aware how small an influence reason and honest good will exert upon events in the political field.”
29	“As far as I'm concerned, I prefer silent vice to ostentatious virtue.”
28	“I maintain that the cosmic religious feeling is the strongest and noblest motive for scientific research.”
28	“Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.”
28	“The right to search for the truth implies also a duty; one must not conceal any part of what one has recognized to be the truth.”
28	“Too many of us look upon Americans as dollar chasers. This is a cruel libel, even if it is reiterated thoughtlessly by the Americans themselves.”
27	“Life is sacred, that is to say, it is the supreme value, to which all other values are subordinate.”
27	“It is important to foster individuality, for only the individual can produce the new ideas.”
27	“So long as there are men, there will be wars.”
27	“When we first got married, we made a pact. It was this: In our life together, it was decided I would make all of the big decisions and my wife would make all of the little decisions. For fifty years, we have held true to that agreement. I believe that is the reason for the success in our marriage. However, the strange thing is that in fifty years, there hasn’t been one big decision.”
27	“Anger dwells only in the bosom of fools.”
27	“Every one who is seriously involved in the pursuit of science becomes convinced that a spirit is manifest in the laws of the Universe-a spirit vastly superior to that of man, and one in the face of which we with our modest powers must feel humble.”
27	“If someone can enjoy marching to music in rank and file, I can feel only contempt for him; he has received his large brain by mistake, a spinal cord would have been enough.”
27	“Am I, or the others crazy?”
26	“The life of the individual has meaning only insofar as it aids in making the life of every living thing nobler and more beautiful. Life is sacred, that is to say, it is the supreme value, to which all other values are subordinate.”
26	“How can cosmic religious feeling be communicated from one person to another, if it can give rise to no definite notion of a God and no theology? In my view, it is the most important function of art and science to awaken this feeling and keep it alive in those who are receptive to it.”
26	“everyday is an oportunity to make a new happy ending.........”
26	“It is very difficult to explain this feeling to anyone who is entirely without it, especially as there is no anthropomorphic conception of God corresponding to it. The individual feels the nothingness of human desires and aims and the sublimity and marvelous order which reveal themselves both in Nature and in the world of though. He looks upon individual existence as a sort of prison and wants to experience the universe as a single significant whole.”
26	“As long as there are sovereign nations possessing great power, war is inevitable.”
25	“No one does anything right in life, until they realize that they are making a mistake”
24	“It is a very grave mistake to think that the enjoyment of seeing and searching can be promoted by means of coercion and a sense of duty. To the contrary, I believe it would be possible to rob even a healthy beast of prey of its voraciousness, if it were possible, with the aid of a whip, to force the beast to devour continuously, even when not hungry.”
24	“The true sign of intelligence is not knowledge but imagination. I have no special talent. I am only passionately curious.”
24	“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.When I examine myself and my methods of thought, I come to the conclusion that the gift of fantasy has meant more to me than any talent for abstract, positive thinking”
24	“Strive not to be a success, but rather to be of value.”
24	“Ein Freund ist ein Mensch, der die Melodie deines Herzen kennt und sie dir vorspielt, wenn du sie vergessen hast.”
23	“Yes, we have to divide up our time like that, between our politics and our equations. But to me our equations are far more important, for politics are only a matter of present concern. A mathematical equation stands forever. ”
23	“The whole of science is nothing more than a refinement of everyday thinking.”
23	“I came to America because of the great, great freedom which I heard existed in this country. I made a mistake in selecting America as a land of freedom, a mistake I cannot repair in the balance of my lifetime.”
23	“The health of society thus depends quite as much on the independence of the individuals composing it as on their close political cohesion.”
23	“The most important human endeavor is the striving for morality in our actions. Our inner balance and even our very existence depend on it. Only morality in our actions can give beauty and dignity to life.To make this a living force and bring it to clear consciousness is perhaps the foremost task of education.The foundation of morality should not be made dependent on myth nor tied to any authority lest doubt about the myth or about the legitimacy of the authority imperil the foundation of sound judgment and action.”
23	“Deux choses sont infinies : l’Univers et la bêtise humaine. Mais, en ce qui concerne l’Univers, je n’en ai pas encore acquis la certitude absolue.”
23	“Work is the only thing that gives substance to life.”
23	“To invent something, all you need is imagination and a big pile of junk.”
23	“Bureaucracy is the death of all sound work.”
23	“I do not believe that civilization will be wiped out in a war fought with the atomic bomb. Perhaps two-thirds of the people of the Earth might be killed, but enough men capable of thinking, and enough books, would be left to start again, and civilization could be restored.”
22	“the scientist's religious feeling takes the form of a rapturous amazement at the harmony of natural law, which reveals an intelligence of such superiority that, compared with it, all the systematic thinking and acting of human beings is utterly insignificant reflection. This feeling is the guiding principle of his life and work, in so far as he succeeds in keeping himself from the shackles of selfish desire. It is beyond question closely akin to that which has possessed the religious geniuses of all ages.”
22	“The unleashed power of the atom has changed everything except our thinking. Thus, we are drifting toward catastrophe beyond conception. We shall require a substantially new manner of thinking if mankind is to survive.”
22	“How was I able to live alone before, my little everything? Without you I lack self-confidence, passion for work, and enjoyment of life--in short, without you, my life is no life.[Written to his wife, Mileva]”
22	“Only the Catholic Church protested against the Hitlerian onslaught on liberty. Up till then I had not been interested in the Church, but today I feel a great admiration for the Church, which alone has had the courage to struggle for spiritual truth and moral liberty”
21	“The fairest thing we can experience is the mysterious. It is the fundamental emotion which stands at the cradle of true art and science. He who knows it not and can no longer wonder, no longer feel amazement, is as good as dead, a snuffed-out candle.”
21	“No problem can be solved from the same level of consciousness that created it.”
21	“Keep fighting until the last buzzer sounds.”
21	“I assert that the cosmic religious experience is the strongest and the noblest driving force behind scientific research.”
21	“Concepts that have proven useful in ordering things easily achieve such authority over us that we forget their earthly origins and accept them as unalterable givens.”
21	“We must be prepared to make the same heroic sacrifices for the cause of peace that we make ungrudgingly for the cause of war.”
21	“Knowledge of what is does not open the door directly to what should be.”
20	“If I were not a Jew I would be a Quaker.”
20	“Numerous are the academic chairs, but rare are wise and noble teachers. Numerous and large are the lecture halls, but far from numerous the young people who genuinely thirst for truth and justice. Numerous are the wares that nature produces by the dozen, but her choice products are few.We all know that, so why complain? Was it not always thus and will it not always thus remain? Certainly, and one must take what nature gives as one finds it. But there is also such a thing as a spirit of the times, an attitude of mind characteristic of a particular generation, which is passed on from individual to individual and gives its distinctive mark to a society. Each of us has to his little bit toward transforming this spirit of the times.”
20	“Peace is not merely the absence of war but the presence of justice, of law, of order —in short, of government.”
20	“Morality is of the highest importance -- but for us, not for God.”
20	“Do you really believe that the moon isn’t there when nobody looks?”
20	“Dear Habicht, / Such a solemn air of silence has descended between us that I almost feel as if I am committing a sacrilege when I break it now with some inconsequential babble... / What are you up to, you frozen whale, you smoked, dried, canned piece of soul...?”
20	“It is this mythical, or rather symbolic, content of the religious traditions which is likely to come into conflict with science. This occurs whenever this religious stock of ideas contains dogmatically fixed statements on subjects which belong in the domain of science.”
20	“Don't do anything that goes against your conscience, even if your country says so.”
20	“Knowledge is limited. Imagination encircles the world.”
19	“I think that only daring speculation can lead us further and not accumulation of facts.”
19	“Those whose acquaintance with scientific research is derived chiefly from its practical results easily develop a completely false notion of the mentality of the men who, surrounded by a skeptical world, have shown the way to kindred spirits scattered wide through the world and through the centuries. Only one who has devoted his life to similar ends can have a vivid realization of what has inspired these men and given them the strength to remain true to their purpose in spite of countless failures. It is cosmic religious feeling that gives a man such strength. A contemporary has said, not unjustly, that in this materialistic age of ours the serious scientific workers are the only profoundly religious people.”
19	“The perfection of means and the confusion of ends seems to be our problem.”
19	“I was originally supposed to become an engineer but the thought of having to expend my creative energy on things that make practical everyday life even more refined, with a loathsome capital gain as the goal, was unbearable to me.”
19	“There is nothing divine about morality, it is a purely human affair.”
19	“One should not pursue goals that are easily achieved. One must develop an instinct for what one can just barely achieve through one’s greatest efforts.”
19	“The only justifiable purpose of political institutions is to ensure the unhindered development of the individual.”
19	“Heroism on command, senseless violence, and all the loathsome nonsense that goes by the name of patriotism -how passionately I hate them!”
19	“Try and penetrate with our limited means the secrets of nature and you will find that, behind all the descernible laws and connections, there remains something subtle, intangible and inexplicable. Veneration for this force beyond anything that we can comprehend is my religion. To that extent I am, in fact, religious.”
18	“We cannot solve our problems with the same thinking we used when we created them.”
18	“When you look at yourself from a universal standpoint, something inside always reminds or informs you that there are bigger and better things to worry about.”
18	“You are right in speaking of the moral foundations of science, but you cannot turn around and speak of the scientific foundations of morality.”
18	“It is easier to denature plutonium than to denature the evil spirit of man.”
18	“The definition of genius is taking the complex and making it simple.”
18	“A person who never made a mistake, never tried anything new”
18	“I have reached an age where if someone tells me to wear socks, I dont have to”
18	“Growth comes through analogy; through seeing how things connect, rather than only seeing how they might be different.”
18	“Don't dream of being a good person, be a human being is valuable and gives value to life.”
17	“To get to know a country, you must have direct contact with the earth. It's futile to gaze at the world through a car window.”
17	“Non possiamo risolvere i problemi con lo stesso tipo di pensiero che abbiamo usato quando li abbiamo creati.”
17	“The important thing is not to stop questioning. Curiosity has its own reason for existing. One cannot help but be in awe when he contemplates the mysteries of eternity, of life, of the marvelous structure of reality. It is enough if one tries merely to comprehend a little of this mystery every day. Never lose a holy curiosity.”
17	“The environment is everything that isn't me.”
17	“Science can only ascertain what is, but not what should be, and outside of its domain value, elly judgments of all kinds remain necessary.”
16	“A problem can't be solved with the same level of thinking that created it.”
16	“I think and think for months and years, ninety-nine times, the conclusion is false. The hundredth time I am right.”
16	“Whoever undertakes to set himself up as a judge of Truth and Knowledge is shpwrecked by the laughter of the gods.”
16	“Ethical axioms are found and tested not very differently from the axioms of science. Truth is what stands the test of experience.”
16	“I am not more gifted than anybody else. I am just more curious than the average person and I will not give up a problem until I have found the proper solution.”
16	“Oh juventud nunca dejes de pensar...”
16	“إني على قناعة مطلقة أنه ما من ثروة في الدنيا يمكنها أن تساعد البشرية على التقدم ولو كانت في يد أكثر الناس تفانياً . إنّ الشخصيات النظيفة والعظيمة وحدها تنتج الأفكار الراقية والأعمال النبيلة ، أما المال فإنه محرك للأنانية ويغري مالكيه بإساءة استخدامه .هل يستطيع أي إنسان أن يتخيل موسى والمسيح أو غاندي يجرون وراءهم أكياس المال؟”
15	“There is one questions that drives me hazy: Am I or the others crazy?”
15	“Philosophers play with the word, like a child with a doll.... It does not mean that everything in life is relative.”
15	“Only one who devotes himself to a cause with his whole strength and soul can be a true master. For this reason mastery demands all of a person.”
15	“The pursuit of knowledge for its own sake, an almost fanatical love of justice and the desire for personal independence -- these are the features of the Jewish tradition which make me thank my stars that I belong to it.”
15	“Never lose a holy curiosity.”
15	“In the matter of physics, the first lessons should contain nothing but what is experimental and interesting to see. A pretty experiment is in itself often more valuable than twenty formulae extracted from our minds.”
15	“I often think in music. I live my daydreams in music. I see my life in terms of music”
15	“From discord, find Harmony.”
14	“Nonsense, seems to sum up everything.”
14	“If I had only known, I would have been a locksmith. ”
14	“If a man aspires towards a righteous life, his first act of abstinence is from injury to animals.”
14	“The important thing is never to stop questioning.”
14	“be a voice not an echo”
14	“Is it not better for a man to die for a cause in which he believes, such as peace, than to suffer for a cause in which he does not believe, such as war?”
14	“More and more I come to value charity and love of one's fellow being above everything else...All our lauded technological progress-our very civilization-is like the axe in the hand of the pathological criminal.”
14	“Man is here for the sake of other men - above all for those upon whose smiles and well-being our own happiness depends.”
14	“E = mc2”
13	“Brief is this existence, as a visit in a strange house. The path to be pursued is poorly lit by a flickering consciousness.”
13	“Tình cảnh của những đứa con trái đất chúng ta mới kỳ lạ làm sao! Mỗi chúng ta đến đây như một chuyến viếng thăm ngắn ngủi. Ta không biết để làm gì, nhưng đôi khi ta tin rằng ta cảm nhận được điều đó. Song, nhìn từ cuộc sống thường nhật mà không đi sâu hơn, ta biết rằng: ta đến đây vì người khác - trước hết vì những người mà hạnh phúc của riêng ta phụ thuộc hoàn toàn vào nụ cười và sự yên ấm của họ, kế đến là vì bao người không quen mà số phận của họ nối với ta bằng sợi dây của lòng cảm thông.”
13	“Common to all these types is the anthropomorphic character of their conception of God. In general, only individuals of exceptional endowments, and exceptionally high-minded communities, rise to any considerable extent above this level. But there is a third stage of religious experience which belongs to all of them, even though it is rarely found in a pure form: I shall call it cosmic religious feeling. It is very difficult to elucidate this feeling to anyone who is entirely without it, especially as there is no anthropomorphic conception of God corresponding to it.”
13	“The most beautiful and deepest experience a man can have is the sense of the mysterious. It is the underlying principle of religion as well as all serious endeavor in art and science. He who never had this experience seems to me, if not dead, then at least blind. To sense that behind anything that can be experienced there is a something that our mind cannot grasp and whose beauty and sublimity reaches us only indirectly and as a feeble reflection, this is religiousness.In this sense I am religious. To me it suffices to wonder at these secrets and to attempt humbly to grasp with my mind a mere image of the lofty structure of all that there is.”
13	“A desk, some pads, a pencil, and a large basket -- to hold all of mu mistakes.”
13	“I want to go when I want. It is tasteless to prolong life artificially. I have done my share, it is time to go. I will do it elegantly.”
13	“I cannot conceive of a great scientist without this profound faith: Science without religion is lame, religion without science is blind.”
13	“There are two important things for full success in life:1. Don´t tell everything you know.”
13	"“This is a question too difficult for a mathematician. It should be asked of a philosopher""(when asked about completing his income tax form)”"
13	“live as if you were to die tommorow.dream as if you were to live forever”
13	“The state was made for man, not man for state.”
13	“It is the duty of every citizen according to his best capacities to give validity to his convictions in political affairs.”
12	“The individual must not merely wait and criticize, he must defend the cause the best he can. The fate of the world will be such as the world deserves.”
12	“The most amazing thing about the world is that we understand it.”
12	“I received your letter of June 10th. I have never talked to a Jesuit priest in my life and I am astonished by the audacity to tell such lies about me. From the viewpoint of a Jesuit priest I am, of course, and have always been an atheist.”
12	“The distinction between past, present and future is an illusion, but a very persistent one.”
12	“A theory is something nobody believes, except the person who made it. An experiment is something everybody believes, except the person who made it.”
12	“Jesus is too colossal for the pen of phrasemongers, however artful. No man can dispose of Christianity with a bon mot”
12	“There are times when onefeels liberated from one’slimits and humanimperfections.At such moments, we seeourselves there, in a littlecorner of our little planet,our eyes fixed in wonder onthe cold and yet deepbeauty of that which iseternal, that which iselusive.Life and death are fusedtogether and there is noevolution, nor destination,there is only BEING.”
12	“The significant problems we face cannot be solved with the same level of thinking we were at when we created them.”
12	“True art is characterized by an irresistible urge in the creative artist.”
12	“True religion is real living; living with all one's soul, with all one's goodness and righteousness.”
11	“We cannot solve our problems with the same level of thinking we used when we created them.”
11	“One must divide one's time between politics and equations. But our equations are much more important to me, because politics is for the present, while our equations are for eternity.”
11	“The word God is for me nothing more than the expression and product of human weaknesses, the Bible a collection of honorable, but still primitive legends which are nevertheless pretty childish. No interpretation no matter how subtle can (for me) change this. These subtilised interpretations are highly manifold according to their nature and have almost nothing to do with the original text. For me the Jewish religion like all other religions is an incarnation of the most childish superstitions.”
11	“when u knw ur limits u go byond them”
11	“Out yonder there is this huge world, which exists independently of us human beings and which stands before us like a great, eternal riddle, at least partially accessible to our inspection and thinking”
11	“Beyond the realms of what we see, into the regions or the unexplored limited only by our imaginations.”
11	“The finest emotion of which we are capable is the mystic emotion. Herein lies the germ of all art and all true science. Anyone to whom this feeling is alien, who is no longer capable of wonderment and lives in a state of fear is a dead man. To know that what is impenetrable for us really exists and manifests itself as the highest wisdom and the most radiant beauty, whose gross forms alone are intelligible to our poor faculties – this knowledge, this feeling … that is the core of the true religious sentiment. In this sense, and in this sense alone, I rank myself among profoundly religious men.”
11	“Without deep reflection one knows from daily life that one exist for other people”
11	“A happy man is too satisfied with the present to dwell too much on the future.”
11	“There are two means of refuge from the misery of life - music and cats.”
11	“Just because you don't believe in something doesn't mean it isn't true.”
11	“I cannot conceive of a God who rewards and punishes his creatures, or has a will of the kind that we experience in ourselves. Neither can I nor would I want to conceive of an individual that survives his physical death; let feeble souls, from fear or absurd egoism, cherish such thoughts.”
11	“During the youthful period of mankind's spiritual evolution human fantasy created gods in man's own image, who, by the operations of their will were supposed to determine, or at any rate to influence, the phenomenal world. Man sought to alter the disposition of these gods in his own favor by means of magic and prayer. The idea of God in the religions taught at present is a sublimation of that old concept of the gods. Its anthropomorphic character is shown, for instance, by the fact that men appeal to the Divine Being in prayers and plead for the fulfillment of their wishes. Nobody, certainly, will deny that the idea of the existence of an omnipotent, just, and omnibeneficent personal God is able to accord man solace, help, and guidance; also, by virtue of its simplicity it is accessible to the most undeveloped mind. But, on the other hand, there are decisive weaknesses attached to this idea in itself, which have been painfully felt since the beginning of history. That is, if this being is omnipotent, then every occurrence, including every human action, every human thought, and every human feeling and aspiration is also His work; how is it possible to think of holding men responsible for their deeds and thoughts before such an almighty Being? In giving out punishment and rewards He would to a certain extent be passing judgment on Himself. How can this be combined with the goodness and righteousness ascribed to Him?(Albert Einstein, Science, Philosophy, and Religion, A 1934 Symposium published by the Conference on Science, Philosophy and Religion in Their Relation to the Democratic Way of Life, Inc., New York, 1941; from Einstein's Out of My Later Years, Westport, Connecticut: Greenwood Press, 1970, pp. 26-27.)”
11	“PARAPHRASE: Genius is not that you are smarter than everyone else. It is that you are ready to receive the inspiration.”
11	“Todos somos muy ignorantes. Lo que ocurre es que no todos ignoramos las mismas cosas.”
11	“To raise new questions, new possibilities, to regard old problems from a new angle, requires creative imagination and marks real advance in science.”
11	“People like us, who believe in Physics, know that the distinction between past, present and future is only a stubbornly persistent illusion.”
10	“The laws of gravity cannot be held responcible for people falling in love.”
10	“The theory must not contradict empirical facts,”
10	“I fully agree with you about the significance and educational value of methodology as well as history and philosophy of science. So many people today - and even professional scientists - seem to me like somebody who has seen thousands of trees but has never seen a forest. A knowledge of the historic and philosophical background gives that kind of independence from prejudices of his generation from which most scientists are suffering. This independence created by philosophical insight is - in my opinion - the mark of distinction between a mere artisan or specialist and a real seeker after truth.”
10	“Equations are more important to me, because politics is for the present, but an equation is something for eternity.”
10	“Never attribute to malice that which can be adequately explained by stupidity, but don't rule out malice.”
10	“Due cose sono infinite: l'universo e la stupidità umana, ma riguardo l'universo ho ancora dei dubbi.”
10	“The idea of a personal God is quite alien to me and seems even naïve.”
10	“artificial intellegance is no match for natural stupidity”
10	“I think 99 times and find nothing. I stop thinking, swim in silence, and the truth comes to me.”
10	“We owe a lot to the Indians, who taught us how to count, without which no worthwhile scientific discovery could have been made.”
10	“A knowledge of the existence of something we cannot penetrate, of the manifestations of the profoundest reason and the most radiant beauty - it is this knowledge and this emotion that constitute the truly religious attitude; in this sense, and in this alone, I am a deeply religious man.”
10	“In scientific thinking are always present elements of poetry. Science and music requires a thought homogeneous.”
10	“...there is found a third level of religious experience, even if it is seldom found in a pure form. I will call it the cosmic religious sense. This is hard to make clear to those who do not experience it, since it does not involve an anthropomorphic idea of God; the individual feels the vanity of human desires and aims, and the nobility and marvelous order which are revealed in nature and in the world of thought. He feels the individual destiny as an imprisonment and seeks to experience the totality of existence as a unity full of significance. Indications of this cosmic religious sense can be found even on earlier levels of development—for example, in the Psalms of David and in the Prophets. The cosmic element is much stronger in Buddhism, as, in particular, Schopenhauer's magnificent essays have shown us. The religious geniuses of all times have been distinguished by this cosmic religious sense, which recognizes neither dogmas nor God made in man's image. Consequently there cannot be a church whose chief doctrines are based on the cosmic religious experience. It comes about, therefore, that we find precisely among the heretics of all ages men who were inspired by this highest religious experience; often they appeared to their contemporaries as atheists, but sometimes also as saints.”
9	“We are in the position of a little child, entering a huge library whose walls are covered to the ceiling with books in many different tongues. The child knows that someone must have written those books. It does not know who or how. It does not understand the languages in which they are written. The child notes a definite plan in the arrangement of the books, a mysterious order, which it does not comprehend, but only dimly suspects. That, it seems to me, is the attitude of the human mind, even the greatest and most cultured, toward God. We see a universe marvelously arranged, obeying certain laws, but we understand the laws only dimly. Our limited minds cannot grasp the mysterious force that sways the constellations.”
9	“In quitting this strange world he has once again preceded me by just a little. That doesn't mean anything. For us convinced physicists, the distinction between past, present, and future is only an illusion, albeit a persistent one”
9	“When Albert Einstein was asked what he would really like to know about the Universe he replied,'is it friendly?”
9	“The only reason for time is so that everything doesn't happen at once.”
9	“For those of us who believe in physics, this separation between past, present and future is only an illusion, however tenacious.”
9	“The strongest force in the universe is Compound Interest.”
9	“Life is a Mystery, not a problem waiting to be solved.”
9	“People who rely on unsourced webpages are morons”
9	"“I was barked at by numerous dogs who are earning their food guarding ignorance and superstition for the benefit of those who profit from it. Then there are the fanatical atheists whose intolerance is of the same kind as the intolerance of the religious fanatics and comes from the same source. They are like slaves who are still feeling the weight of their chains which they have thrown off after hard struggle. They are creatures who—in their grudge against the traditional ""opium of the people""—cannot bear the music of the spheres. The Wonder of nature does not become smaller because one cannot measure it by the standards of human morals and human aims.”"
9	“Everyone should be respected as an individual, but no one idolized.”
9	“When I was young I found out that the big toe always ends up making a hole in a sock.So I stopped wearing socks.”
9	“Not until the creation and maintenance of decent conditions of life for all people are recognized and accepted as a common obligation of all people and all countries - not until then shall we, with a certain degree of justification, be able to speak of humankind as civilized.”
9	“When a man is sufficiently motivated, discipline will take care of itself.”
9	“An autocratic system of coercion, in my opinion soon degenerates. For force always attract men of low morality.”
9	“A man's actions are determined by necessity, external and internal.”
9	“What is the meaning of human life, or of organic life altogether? To answer this question at all implies a religion. Is there any sense then, you ask, in putting it? I answer, the man who regards his own life and that of his fellow creatures as meaningless is not merely unfortunate but almost disqualified for life.”
9	“Imagination is everything”
9	“I would not think that philosophy and reason themselves will be man's guide in the foreseeable future; however, they will remain the most beautiful sanctuary they have always been for the select few.”
9	“A large part of our attitude toward things is conditioned by opinions and emotions which we unconsciously absorb as children from our environment. In other words, it is tradition—besides inherited aptitudes and qualities—which makes us what we are. We but rarely reflect how relatively small as compared with the powerfu...See more”
8	“Hope that justice will be done to those brave men who stood up for their convictions.”
8	“Il est plus facile de désintégrer un atome qu'un préjugé”
8	“Teaching should be such that what is offered is perceived as a valuable gift and not as a hard duty.”
8	“In my view, it is the most important function of art and science to awaken this religious feeling and keep it alive in those who are receptive to it.”
8	“Conviction is a good motive, but a bad judge.”
8	“A conviction akin to religious feeling of the rationality or intelligibility of the world lies behind all scientific work of a high order.”
8	“I was very pleased with your kind letter. Until now I never dreamed of being something like a hero. But since you've given me the nomination I feel that I am one.”
8	“If the answer is simple, God is speaking.”
8	“Try not to become a person of success, but rather try to become a person of value.”
8	“Scientific research is based on the idea that everything that takes place is determined by laws of nature, and therefore this holds for the action of people. For this reason, a research scientist will hardly be inclined to believe that events could be influenced by a prayer, i.e. by a wish addressed to a Supernatural Being. - Albert Einstein, 1936, responding to a child who wrote and asked if scientists pray; quoted in: Albert Einstein: The Human Side, edited by Helen Dukas & Banesh Hoffmann”
8	“The woman who follows the crowd will usually believe that I said this.”
8	“إنّ الانسان الذي يعتبر حياته وحياة البشر بلا معنى ليس انسانا بائساً وحسب، بل إنّه بالكاد يستحق الحياة .”
8	“The supreme goal of all theory is to make the irreducible basic elements as simple and as few as possible without having to surrender the adequate representation of a simple datum of experience.”
8	"“No man or Genie on earth had ""created"" anything, we merely assembled God's Atoms, by learning it's properties, with his aid, so if anyone said that we had ""invented"" anything - he had Invented a lie; an unwise man.... thinks we have created an atom.”"
8	“One strength of the communist system of the East is that it has some of the character of a religion and inspires the emotions of a religion. ”
8	“إن جوهر الدين بالنسبة لي هو أن يكون المرء قادراً على أن يدخل تحت جلد إنسان آخر ويقاسمه فرحه حين يفرح ويقاسمه وجعه حين يتألم .”
8	“Politics is for the moment and equation is for eternity.”
8	“Aku takut suatu hari teknologi akan melampaui interaksi manusia. Dunia akan memiliki generasi idiot”
8	“It is only men who are free, who create the inventions and intellectual works which to us moderns make life worth while.”
7	“I gang my own gait and have never belonged to my country, my home, my friends, or even my immediate family, with my whole heart; in the face of all these ties I have never lost an obstinate sense of detachment, of the need for solitude — a feeling which increases with the years.”
7	“Gandhi, the greatest political genius of our time, has pointed the way. He was shown of what sacrifices people are capable once they have found the right way. His work for the liberation of India is a living testimony to the fact that a will governed by firm conviction is stronger than a seemingly invincible material power.”
7	“we cannot solve our problems with the same thinking we used when we created them”
7	“Subtle is the Lord. Malicious, He is not.”
7	“Concern for man and his fate must always form the chief interest of all technical endeavors. Never forget this in the midst of your diagrams and equations.”
7	“I want to oppose the idea that the school has to teach directly that special knowledge and those accomplishments which one has to use later directly in life. The demands of life are much too manifold to let such a specialized training in school appear possible [...] The development of general ability for independent thinking and judgement should always be placed foremost.”
7	“Through the reading of popular scientific books I soon reached the conviction that much in the stories of the Bible could not be true. The consequence was a positively fanatic orgy of freethinking coupled with the impression that youth is intentionally being deceived by the state through lies; it was a crushing impression. Mistrust of every kind of authority grew out of this experience, a skeptical attitude toward the convictions that were alive in any specific social environment - an attitude that has never again left me.- Albert Einstein, Autobiographical Notes, edited by Paul Arthur Schilpp”
7	“Although I have been prevented by outward circumstances from observing a strictly vegetarian diet, I have long been an adherent to the cause in principle. Besides agreeing with the aims of vegetarianism for aesthetic and moral reasons, it is my view that a vegetarian manner of living by its purely physical effect on the human temperament would most beneficially influence the lot of mankind.”
